Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      6.11     0.00     2000     0.00     0.00  void std::_Destroy<std::vector<edge, std::allocator<edge> > >(std::vector<edge, std::allocator<edge> >*)
  0.00      6.11     0.00      248     0.00     0.00  std::_Miter_base<edge*>::iterator_type std::__miter_base<edge*>(edge*)
  0.00      6.11     0.00      124     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<edge> >::max_size(std::allocator<edge> const&)
  0.00      6.11     0.00      124     0.00     0.00  std::vector<edge, std::allocator<edge> >::max_size() const
  0.00      6.11     0.00      124     0.00     0.00  edge* std::__uninitialized_copy<true>::__uninit_copy<edge*, edge*>(edge*, edge*, edge*)
  0.00      6.11     0.00      124     0.00     0.00  edge* std::__copy_move_a<false, edge*, edge*>(edge*, edge*, edge*)
  0.00      6.11     0.00      124     0.00     0.00  edge* std::__copy_move_a2<false, edge*, edge*>(edge*, edge*, edge*)
  0.00      6.11     0.00      124     0.00     0.00  edge* std::uninitialized_copy<edge*, edge*>(edge*, edge*, edge*)
  0.00      6.11     0.00      124     0.00     0.00  edge* std::__uninitialized_copy_a<edge*, edge*, edge>(edge*, edge*, edge*, std::allocator<edge>&)
  0.00      6.11     0.00      124     0.00     0.00  edge* std::__uninitialized_move_if_noexcept_a<edge*, edge*, std::allocator<edge> >(edge*, edge*, edge*, std::allocator<edge>&)
  0.00      6.11     0.00      124     0.00     0.00  edge* std::copy<edge*, edge*>(edge*, edge*, edge*)
  0.00      6.11     0.00       62     0.00     0.00  std::vector<edge, std::allocator<edge> >::_M_check_len(unsigned long, char const*) const
  0.00      6.11     0.00       62     0.00     0.00  std::vector<edge, std::allocator<edge> >::_M_insert_aux(__gnu_cxx::__normal_iterator<edge*, std::vector<edge, std::allocator<edge> > >, edge const&)
  0.00      6.11     0.00       62     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      6.11     0.00        6     0.00     0.00  std::allocator<edge>::allocator()
  0.00      6.11     0.00        6     0.00     0.00  std::_Vector_base<edge, std::allocator<edge> >::_Vector_impl::_Vector_impl()
  0.00      6.11     0.00        6     0.00     0.00  std::_Vector_base<edge, std::allocator<edge> >::_Vector_base()
